pts_ra_HOME,fga_ra_HOME,fg3a_ra_HOME,fta_ra_HOME,oreb_ra_HOME,dreb_ra_HOME,asts_ra_HOME,stls_ra_HOME,blks_ra_HOME,tos_ra_HOME,FG_pct_ra_HOME,FG3_pct_ra_HOME,FT_pct_ra_HOME,pts_ra_AWAY,fga_ra_AWAY,fg3a_ra_AWAY,fta_ra_AWAY,oreb_ra_AWAY,dreb_ra_AWAY,asts_ra_AWAY,stls_ra_AWAY,blks_ra_AWAY,tos_ra_AWAY,FG_pct_ra_AWAY,FG3_pct_ra_AWAY,FT_pct_ra_AWAY,HOME_TEAM_WINS
101.1780822,83.35616438,27.24657534,20.47945205,8.260273973,33.89041096,24.84931507,9.205479452,5.698630137,14.91780822,0.454962493,0.347344478,0.780151197,98.25,81.68055556,18.47222222,25.45833333,10.08333333,31.52777778,20.77777778,8.819444444,4.416666667,13.02777778,0.442553973,0.330833943,0.786474744,1
101.2162162,83.37837838,27.28378378,20.33783784,8.27027027,33.98648649,24.87837838,9.22972973,5.702702703,14.91891892,0.455173652,0.34940739,0.781770775,101.9589041,85.38356164,23.19178082,23.87671233,10.67123288,33.95890411,20.47945205,8.945205479,5.109589041,14.12328767,0.445157497,0.340284091,0.759112765,1
101.6315789,83.40789474,27.35526316,20.61842105,8.25,34.02631579,24.97368421,9.184210526,5.697368421,14.84210526,0.455540164,0.350929296,0.783311969,102.2105263,85.40789474,23.42105263,24.57894737,11.52631579,33.42105263,22.39473684,7.684210526,4.407894737,14.43421053,0.442900718,0.335832297,0.767567066,1
101.7272727,83.46753247,27.49350649,20.50649351,8.25974026,33.98701299,25.06493506,9.220779221,5.701298701,14.85714286,0.456117565,0.351156462,0.780714844,106.2692308,83.8974359,31.33333333,30.03846154,11.67948718,31.93589744,21.8974359,10.29487179,4.987179487,15.53846154,0.445675451,0.33960142,0.702346514,1
101.7307692,83.3974359,27.56410256,20.46153846,8.179487179,33.94871795,25.03846154,9.166666667,5.705128205,14.84615385,0.456515795,0.351704961,0.780509601,103.5921053,85.53947368,24.02631579,22.69736842,8.947368421,32.53947368,24.15789474,8.789473684,4.039473684,13.86842105,0.458232291,0.355954508,0.741051671,0
101.975,83.575,27.8,20.4375,8.275,33.875,25.1375,9.1875,5.7,14.8125,0.457082834,0.349924986,0.779813706,99.17721519,81.91139241,15.87341772,23.34177215,10.53164557,31.41772152,22.74683544,8.050632911,5.835443038,14.78481013,0.466109276,0.348321487,0.745797565,1
102.1071429,83.85714286,27.89285714,20.42857143,8.214285714,34.05952381,25.19047619,8.964285714,5.845238095,14.64285714,0.455816319,0.349141273,0.783136287,103.1927711,83.65060241,29.62650602,22.21686747,10.4939759,33.79518072,22.60240964,6.831325301,3.746987952,13.20481928,0.455997639,0.354562301,0.749480536,0
102.1176471,83.98823529,27.96470588,20.41176471,8.270588235,34.09411765,25.2,9.047058824,5.811764706,14.65882353,0.455283496,0.348839957,0.782591649,100.3214286,85.47619048,25.91666667,23.05952381,11.25,33.28571429,20.69047619,7.94047619,3.845238095,16.57142857,0.4337726,0.34681349,0.741964548,1
102.0348837,83.89534884,28.01162791,20.41860465,8.23255814,34.11627907,25.1744186,8.988372093,5.88372093,14.63953488,0.455038461,0.349144144,0.782904814,101.8352941,81.08235294,23.01176471,27.05882353,10.22352941,33.11764706,18.42352941,7.929411765,5.294117647,12.36470588,0.448250284,0.361223728,0.780068404,1
102.2183908,83.94252874,28.06896552,20.31034483,8.195402299,34.17241379,25.24137931,9,5.931034483,14.66666667,0.455816493,0.351052275,0.783310297,105.4823529,89.18823529,26.17647059,23.45882353,11.63529412,33.71764706,24.30588235,9.2,4.435294118,13.76470588,0.440345755,0.336857932,0.778447202,1
102.0777778,83.96666667,28.08888889,20.53333333,8.277777778,34.25555556,25.15555556,8.977777778,5.955555556,14.71111111,0.454514992,0.348524321,0.779941036,105.2840909,89.29545455,26.11363636,23.45454545,11.67045455,33.67045455,24.20454545,9.102272727,4.397727273,13.625,0.438686242,0.336791888,0.780697045,1
101.9340659,83.94505495,28.0989011,20.48351648,8.21978022,34.38461538,25.0989011,8.956043956,6.054945055,14.71428571,0.453808716,0.348862629,0.78098564,104.9101124,89.28089888,26.13483146,23.3258427,11.65168539,33.66292135,24.11235955,9.056179775,4.460674157,13.62921348,0.43733226,0.33501413,0.782224794,1
101.9574468,84.25531915,28.40425532,20.36170213,8.29787234,34.44680851,25.0106383,9,6.031914894,14.65957447,0.452656287,0.347683123,0.780522806,104.7282609,89.11956522,26.30434783,23.40217391,11.58695652,33.77173913,24.05434783,9,4.52173913,13.7173913,0.43682762,0.334073046,0.77988576,1
101.9081633,84.04081633,28.45918367,20.44897959,8.285714286,34.32653061,24.94897959,8.867346939,6.081632653,14.67346939,0.452583115,0.349153795,0.781684925,103.9375,83.61458333,30.13541667,21.79166667,10.45833333,33.64583333,22.76041667,6.791666667,3.729166667,12.95833333,0.458957849,0.366889809,0.74588285,0
101.8787879,84.03030303,28.48484848,20.38383838,8.292929293,34.31313131,24.91919192,8.878787879,6.090909091,14.64646465,0.452879525,0.348559541,0.781004124,103.8969072,83.65979381,30.20618557,21.70103093,10.49484536,33.57731959,22.7628866,6.783505155,3.762886598,12.97938144,0.458678058,0.367565506,0.744537508,0
